Berechnungsstichtag,EEG-Umlage,KWK-Umlage,Offshore-Netzumlage,§19 StromNEV-Umlage,Konzessionsabgabe,Umlage abschaltbare Lasten,Stromsteuer,Mwst,Summe
2015,6.169999999999997,0.2539999999999998,-0.051000000000000004,0.23700000000000004,1.64293168446454,0.006000000000000004,2.049999999999999,4.729455247394055,15.038386931858591
2016,6.354000000000001,0.4450000000000001,0.04000000000000001,0.37800000000000006,1.643745904715892,0.0,2.05,4.750041976637641,15.660787881353533
2017,6.879999999999998,0.438,-0.028000000000000014,0.3880000000000002,1.645999197858682,0.006000000000000002,2.05,4.8476451209496965,16.227644318808377
2018,6.791999999999994,0.3449999999999999,0.03699999999999997,0.3699999999999999,1.6467629349455,0.011000000000000005,2.0499999999999994,4.8419969460040155,16.093759880949506
2019,6.404999999999993,0.28,0.41600000000000015,0.3049999999999998,1.6483826298445392,0.005000000000000003,2.0499999999999994,4.977830978478527,16.087213608323058
2020,6.755999999999993,0.22600000000000017,0.41600000000000015,0.3580000000000001,1.6497174500444507,0.007000000000000005,2.0499999999999994,4.802636788687387,16.26535423873183
2021,6.5,0.25399999999999984,0.3949999999999998,0.43200000000000005,1.649690144790664,0.009000000000000005,2.0499999999999994,5.242699440637235,16.5323895854279
2022,1.8615000000000026,0.37800000000000006,0.41900000000000015,0.43700000000000017,1.6501047747317261,0.003000000000000002,2.0499999999999994,7.388412243447721,14.18701701817945
2023,0.0,0.3569999999999996,0.5910000000000004,0.4170000000000006,1.664931554727993,0.0,2.05,7.505875061572256,12.58580661630025
2024,0.0,0.2749999999999998,0.6559999999999995,0.6430000000000006,1.665678650286516,0.0,2.050000000000001,6.421493182868218,11.711171833154735
2025,0.0,0.27699999999999997,0.8160000000000007,1.5580000000000018,1.6665804925266496,0.0,2.0500000000000003,6.3494022723398285,12.716982764866481
