,Wasser_ist,Wind an Land_ist,Wind auf See_ist,Photovoltaik_ist,Biomasse_ist,Sonst. EE_ist,Wind an Land_ziel,Wind auf See_ziel,Photovoltaik_ziel,Biomasse_ziel,Sonst. EE_ziel,Wasser_ziel
1990-01-01,3.982,0.055,0.0,0.002,0.129,0.0,,,,,,
1991-01-01,4.033,0.106,0.0,0.002,0.135,0.0,,,,,,
1992-01-01,4.049,0.174,0.0,0.006,0.139,0.0,,,,,,
1993-01-01,4.117,0.326,0.0,0.009,0.174,0.0,,,,,,
1994-01-01,4.211,0.618,0.0,0.012,0.208,0.0,,,,,,
1995-01-01,4.348,1.121,0.0,0.018,0.227,0.0,,,,,,
1996-01-01,4.305,1.549,0.0,0.028,0.261,0.0,,,,,,
1997-01-01,4.296,2.089,0.0,0.042,0.301,0.0,,,,,,
1998-01-01,4.369,2.877,0.0,0.054,0.461,0.0,,,,,,
1999-01-01,4.547,4.435,0.0,0.07,0.548,0.0,,,,,,
2000-01-01,4.831,6.097,0.0,0.114,0.703,0.0,,,,,,
2001-01-01,4.831,8.738,0.0,0.176,0.827,0.0,,,,,,
2002-01-01,4.937,11.976,0.0,0.296,1.03,0.0,,,,,,
2003-01-01,4.953,14.381,0.0,0.435,1.428,0.0,,,,,,
2004-01-01,5.186,16.419,0.0,1.105,1.687,0.0,,,,,,
2005-01-01,5.21,18.248,0.0,2.056,2.352,0.0,,,,,,
2006-01-01,5.193,20.474,0.0,2.899,3.01,0.0,,,,,,
2007-01-01,5.137,22.116,0.0,4.17,3.392,0.003,,,,,,
2008-01-01,5.164,22.794,0.0,6.12,3.687,0.003,,,,,,
2009-01-01,5.34,25.697,0.035,10.566,4.873,0.008,,,,,,
2010-01-01,5.407,26.823,0.08,18.006,5.46,0.008,,,,,,
2011-01-01,5.625,28.524,0.188,25.916,6.419,0.008,,,,,,
2012-01-01,5.607,30.711,0.268,34.077,6.753,0.019,,,,,,
2013-01-01,5.59,32.969,0.508,36.71,7.036,0.03,,,,,,
2014-01-01,5.58,37.62,0.994,37.9,7.26,0.033,,,,,,
2015-01-01,5.589,41.297,3.283,39.224,7.467,0.034,,,,,,
2016-01-01,5.629,45.283,4.152,40.679,7.681,0.038,,,,,,
2017-01-01,5.627,50.174,5.406,42.293,7.978,0.038,,,,,,
2018-01-01,5.347,52.328,6.393,45.158,8.599,0.042,,,,,,
2019-01-01,5.396,53.187,7.555,48.864,8.911,0.047,,,,,,
2020-01-01,5.454,54.256,7.858,54.381,9.296,0.047,,,,,,
2021-01-01,5.301748162000003,55.873404187,7.874018,60.224166395,9.38,0.054,,,,,,
2022-01-01,5.416299762000002,57.978634277000005,8.216018,67.78326442899998,9.437,0.059,,,,,,
2023-01-01,5.417806263000002,60.971168667,8.473193,83.147780343,9.537,0.057,,,,,,
2024-01-01,5.421635393000002,63.56600425700001,9.215093,100.23229363499999,9.165165287999999,0.36685863,,,,,,
2025-01-01,,,,,,,73.7830021285,12.679244166666667,114.1161468175,9.165165287999999,0.36685863,5.421635393000002
2026-01-01,,,,,,,84.0,16.143395333333334,128.0,9.165165287999999,0.36685863,5.421635393000002
2027-01-01,,,,,,,91.5,19.607546499999998,150.0,9.165165287999999,0.36685863,5.421635393000002
2028-01-01,,,,,,,99.0,23.071697666666665,172.0,9.165165287999999,0.36685863,5.421635393000002
2029-01-01,,,,,,,107.0,26.535848833333333,193.5,9.165165287999999,0.36685863,5.421635393000002
2030-01-01,,,,,,,115.0,30.0,215.0,9.165165287999999,0.36685863,5.421635393000002
2031-01-01,,,,,,,123.4,32.0,233.8,9.165165287999999,0.36685863,5.421635393000002
2032-01-01,,,,,,,131.8,34.0,252.6,9.165165287999999,0.36685863,5.421635393000002
2033-01-01,,,,,,,140.2,36.0,271.4,9.165165287999999,0.36685863,5.421635393000002
2034-01-01,,,,,,,148.6,38.0,290.2,9.165165287999999,0.36685863,5.421635393000002
2035-01-01,,,,,,,157.0,40.0,309.0,9.165165287999999,0.36685863,5.421635393000002
2036-01-01,,,,,,,157.6,43.0,327.2,9.165165287999999,0.36685863,5.421635393000002
2037-01-01,,,,,,,158.2,46.0,345.4,9.165165287999999,0.36685863,5.421635393000002
2038-01-01,,,,,,,158.8,49.0,363.6,9.165165287999999,0.36685863,5.421635393000002
2039-01-01,,,,,,,159.4,52.0,381.8,9.165165287999999,0.36685863,5.421635393000002
2040-01-01,,,,,,,160.0,55.0,400.0,9.165165287999999,0.36685863,5.421635393000002
2041-01-01,,,,,,,160.0,58.0,400.0,9.165165287999999,0.36685863,5.421635393000002
2042-01-01,,,,,,,160.0,61.0,400.0,9.165165287999999,0.36685863,5.421635393000002
2043-01-01,,,,,,,160.0,64.0,400.0,9.165165287999999,0.36685863,5.421635393000002
2044-01-01,,,,,,,160.0,67.0,400.0,9.165165287999999,0.36685863,5.421635393000002
2045-01-01,,,,,,,160.0,70.0,400.0,9.165165287999999,0.36685863,5.421635393000002
