,Durchschnitt 10 Jahre,2025,2024,2023
Jan,0.9522884753765577,2.024691963241307,1.7547157537655773,0.979195
Feb,2.0857510041281055,3.7444299793235327,2.731559041281055,2.692127
Mär,4.098077994068216,8.562864999354026,5.940373940682163,4.2853509999999995
Apr,5.80142409671676,11.110544204902707,8.0875079671676,6.1965699999999995
Mai,6.90144292986083,12.658353767969237,10.481895298608302,8.967706
Jun,7.306411568851617,13.032647773600006,10.738300688516164,9.968354
Jul,7.207779200627215,11.176859651839457,11.279847006272155,8.669223
Aug,6.538480125010388,11.90233107053087,10.81816225010388,7.375935
Sep,5.082467583985698,7.908979948178117,7.439733839856976,7.486127000000001
Okt,3.015355448279561,4.4683324427538205,4.289104482795612,3.818206
Nov,1.4005285045235056,2.9038245467651556,1.8388460452350572,1.584198
Dez,0.8422575861582565,1.940072049358267,1.2425568615825657,0.897004
