month,10-Jahres-Minimum,10-Jahres-Maximum,LetztesJahr,DiesesJahr,Durchschnitt10Jahre
1,12.08046135259267,24.350371713776916,20.987313801532128,19.68781932792589,18.21368665994794
2,31.061788347912156,52.22066991497219,31.061788347912156,34.431365964553926,39.98854353358663
3,60.37109980367288,96.71551210310147,64.79798906640214,74.73009428680017,77.02456280336402
4,85.86113749106521,138.5034509038508,85.94704946462565,,110.0869543938527
5,112.62778888784368,152.15613152423006,113.88210344013304,,128.183150296815
6,116.00359346013678,151.18539067914642,116.00359346013678,,134.11362777506776
7,113.46705730152297,155.85534272335943,119.43621217410764,,131.95288164578366
8,94.81481649139236,133.682819501387,112.66865929647473,,118.64151200515664
9,77.81390751467163,107.84608601293112,77.81390751467163,,91.25753114464229
10,43.62627488229936,68.37766257297424,43.62627488229936,,53.738058839522296
11,18.966644924959972,32.80744482105202,18.966644924959972,,25.342278916987787
12,10.642286554946914,24.47706730147016,12.716282363383222,,15.431733575216478
