month,10-Jahres-Minimum,10-Jahres-Maximum,J-3,J-2,LetztesJahr,DiesesJahr,Durchschnitt10Jahre
1,152.95387087946554,262.8536110886574,229.69799261950055,251.68934073952133,254.9896268494143,205.35254670579852,227.10364842596232
2,130.07067796302118,328.6815770545494,313.4157214708821,179.04569507767658,231.13341103066946,113.07188292056644,206.54691951790227
3,118.39670803530865,265.3018199188228,118.39670803530865,205.69998881471938,150.36660227060884,101.00945683266696,181.73688181840515
4,128.50465719817163,166.6408555763983,166.6408555763983,141.4437006756334,155.1841093175153,91.4033614256664,144.43215921560017
5,99.95815492520107,161.5910237932325,112.18514835156327,113.18065181032938,101.01957483844038,122.02122488420866,121.03048229543242
6,61.907003720041864,129.8710123836404,76.38992132544044,81.15289699350251,91.89528365340365,133.31199473417723,89.743767904165
7,72.63244302797364,144.19727466196466,95.73568369738338,139.07598103885795,89.90616255801807,95.69783685154042,102.11702100112937
8,64.1928946381129,112.43718503150163,64.1928946381129,96.57132885513481,84.31054380677513,83.01437765103098,92.27906175088226
9,81.42248070591111,144.6062122887366,106.99009725798993,88.10283068617113,144.6062122887366,146.88733831108664,109.35560760617105
10,82.37598842846221,218.63270921498147,147.71817089620671,193.3231428610411,134.1703386653771,,162.05979943683258
11,141.74291267448922,243.07434519705959,172.93274452362652,235.5905358492772,163.49268560188156,,177.06535753136026
12,159.91000586518257,263.45652384957543,159.91000586518257,263.45652384957543,217.1563507848511,,215.60233852901752
