month,10-Jahres-Minimum,10-Jahres-Maximum,LetztesJahr,DiesesJahr,Durchschnitt10Jahre
1,222.57482745465265,427.531129429735,365.03358297161407,281.0714986815652,345.0318615253578
2,164.41905743572121,437.82598258516464,334.38398015954556,249.78586759786364,319.56794898008746
3,180.51774837192397,389.29690664988675,328.99049980332086,208.52746684162602,291.53871175291704
4,162.39052941953088,303.581644907405,262.6990793199211,,246.79304390405704
5,165.86195256348157,268.149012760337,178.36826503109137,,220.0582960390871
6,134.51836152774862,258.76917233159134,179.18725209078158,,181.35780845458072
7,139.43197558254985,246.02247457182307,184.1233338713369,,200.4578148657254
8,127.97982552680426,245.77032970968568,158.83045043886264,,189.9451756367595
9,161.14405648662853,297.42472165455484,201.18082367698298,,219.47317531737616
10,248.91772660351882,443.2650762335244,248.91772660351882,,331.0204173294503
11,247.01866817838953,402.8504686714569,247.01866817838953,,317.7198102939607
12,274.57129298640825,468.0800733315592,274.57129298640825,,356.67536992909163
