,Durchschnitt 10 Jahre,2025,2024,2023
Jan,1.5921691406650698,1.6848576230285428,2.024738438294323,1.4817381175356095
Feb,1.582147928775544,1.3719018306156563,1.8232090660318274,1.1793519800232686
Mär,1.7276551069758714,1.1615500854333622,1.805763721369049,1.5502637039197749
Apr,1.6866965478578368,1.0797765448382608,1.775101330374589,1.8253586141330542
Mai,1.9489713596211395,,2.0499998763695984,2.0818333973036918
Jun,1.8195958519637443,,1.8948416526022684,1.4152500332137405
Jul,1.6711113927914436,,1.9249375575956282,1.3239117698663936
Aug,1.5826726750308997,,1.6235909525005119,1.6850312622089494
Sep,1.427545054567878,,1.6455823977778823,1.3707220515353162
Okt,1.3654635521594358,,1.865716085488049,0.9983557139317699
Nov,1.3449947604043277,,1.3211596284567475,1.7725017528387503
Dez,1.5150306948126024,,1.6541694999468706,2.0919845473249783
