Date,NW_EUROPE_EUR_MWH,S_EUROPE_EUR_MWH,EUROPE_EUR_MWH,LNG_BENCHMARK_EUR_MWH
2024-01-26,"26,93","27,10","26,99","-1,09"
2024-01-29,"26,67","26,80","26,81","-1,36"
2024-01-30,"26,67","26,89","26,85","-2,54"
2024-01-31,"26,64","26,91","26,76","-3,47"
2024-02-01,"27,16","27,39","27,14","-1,85"
2024-02-02,"28,42","28,93","28,28","-1,02"
2024-02-05,"28,43","28,94","28,29","-0,05"
2024-02-06,"27,13","27,66","27,13","-1,48"
2024-02-07,"26,80","27,66","26,81","-1,38"
2024-02-08,"26,81","27,01","26,83","-0,98"
2024-02-09,"26,80","27,00","26,83","-0,29"
2024-02-12,"26,81","26,42","26,67","0,94"
2024-02-13,"26,06","26,42","26,11","0,67"
2024-02-14,"25,97","26,01","26,02","1,17"
2024-02-15,"24,12","24,75","24,17","-0,79"
2024-02-16,"23,67","23,66","23,65","-1,17"
2024-02-19,"23,23","23,59","23,33","-0,38"
2024-02-20,"23,23","23,67","23,53","-0,64"
2024-02-21,"22,45","23,71","22,87","-1,10"
2024-02-22,"22,48","23,74","22,89","-0,30"
2024-02-23,"22,82","22,14","22,42","-0,51"
2024-02-26,"22,46","22,14","22,28","-1,73"
2024-02-27,"22,49","22,15","22,30","-2,09"
2024-02-28,"22,84","22,14","22,57","-3,05"
2024-02-29,"22,79","22,13","22,54","-2,33"
2024-03-01,"24,09","25,05","24,02","-1,79"
2024-03-04,"24,24","25,06","24,20","-2,69"
2024-03-05,"25,64","24,31","25,48","-1,99"
2024-03-06,"25,64","24,32","25,48","-1,09"
2024-03-07,"25,87","24,32","25,92","-0,07"
2024-03-08,"25,62","25,14","25,39","-1,00"
2024-03-11,"25,63","25,14","25,46","0,53"
2024-03-12,"25,26","25,14","25,22","0,44"
2024-03-13,"23,89","23,82","23,98","-0,93"
2024-03-14,"23,89","23,82","23,97","-2,08"
2024-03-15,"23,89","23,81","23,89","-3,13"
2024-03-18,"23,89","23,82","23,89","-4,93"
2024-03-19,"23,85","23,77","23,84","-5,02"
2024-03-20,"23,96","23,96","23,96","-3,78"
2024-03-21,"28,32","25,94","27,60","1,19"
2024-03-22,"26,05","25,78","26,05","-1,73"
2024-03-25,"26,20","25,86","26,13","-2,36"
2024-03-26,"26,45","26,73","26,58","-0,55"
2024-03-27,"26,95","26,73","26,94","-0,74"
2024-04-02,"27,38","27,39","27,21","1,01"
2024-04-03,"26,66","25,62","25,87","0,31"
2024-04-04,"25,18","25,23","25,20","-1,00"
2024-04-05,"25,17","25,40","25,28","-1,32"
2024-04-08,"25,21","25,44","25,35","-2,56"
2024-04-09,"26,32","26,42","26,20","-1,16"
2024-04-10,"26,32","26,42","26,19","-0,91"
2024-04-11,"26,33","27,09","26,96","-2,42"
2024-04-12,"26,33","27,12","26,99","-3,74"
2024-04-15,"26,33","28,70","28,60","-2,54"
2024-04-16,"30,80","29,88","30,28","-2,86"
2024-04-17,"32,10","31,37","31,31","0,02"
2024-04-18,"32,10","30,21","30,40","-1,91"
2024-04-19,"30,77","30,25","30,66","-0,10"
2024-04-22,"30,77","30,31","30,68","1,37"
2024-04-23,"30,77","28,90","30,16","1,75"
2024-04-24,"30,77","28,90","30,15","1,14"
2024-04-25,"30,77","28,25","28,82","-0,95"
2024-04-26,"29,17","28,45","28,99","0,10"
2024-04-29,"29,15","28,45","28,97","0,97"
2024-04-30,"29,15","28,45","27,79","-1,33"
2024-05-02,"30,01","28,77","28,78","-2,14"
2024-05-03,"28,91","28,77","28,54","-1,99"
2024-05-06,"28,91","28,77","28,53","-3,27"
2024-05-07,"28,91","28,77","28,53","-2,53"
2024-05-08,"28,93","28,79","28,55","-2,06"
2024-05-13,"30,35","30,24","30,20","0,63"
2024-05-14,"30,37","30,26","30,30","0,63"
2024-05-15,"30,37","30,27","30,30","0,56"
2024-05-16,"30,37","29,13","29,22","-1,03"
2024-05-17,"29,38","29,32","29,39","-1,38"
2024-05-21,"30,54","30,43","30,37","-2,63"
2024-05-22,"30,55","30,94","30,74","-3,65"
2024-05-23,"30,55","31,88","31,55","-3,68"
2024-05-24,"30,59","31,91","31,58","-2,54"
2024-05-27,"35,02","35,20","35,04","-0,20"
2024-05-28,"35,02","35,20","35,04","1,51"
2024-05-29,"35,02","35,27","35,10","1,22"
2024-05-30,"32,43","33,76","32,59","-2,60"
2024-05-31,"32,46","33,80","32,60","-1,62"
2024-06-03,"32,47","33,82","32,62","-3,40"
2024-06-04,"35,32","33,84","35,30","1,50"
2024-06-05,"35,50","34,63","35,22","1,86"
2024-06-06,"35,12","34,28","34,77","1,09"
2024-06-07,"33,97","33,77","33,79","0,69"
